ω [ω_p],θ [deg]
0.853407001447249,19.721385820870786
0.8576330835483886,19.620209641544413
0.8618618137345724,19.52002599543696
0.864366272573418,19.093492000485615
0.8686086007741267,18.996654155488557
0.8728533860933942,18.900757905687005
0.8754267440726677,18.48139229789974
0.8796844233660062,18.388730134764955
0.883944381331478,18.29696085967615
0.8865846284167169,17.884632752006702
0.8908568101096314,17.795988923930377
0.8951311038011153,17.708191444380265
0.8978362938107773,17.302768547790716
0.9021221732983624,17.217990988884743
0.9064100091729157,17.13401533990336
0.9091782584591784,16.735364499981205
0.9134770730709895,16.65430637692333
0.9177776988451045,16.574007756908987
0.9206071848827735,16.181995431281187
0.9249182118047256,16.10451507503291
0.9292309144114359,16.02775377583208
0.9335452694794033,15.951701841851946
0.9364424285890129,15.568207278078432
0.9407665322120785,15.49484859913863
0.9450921639176715,15.422161318738674
0.9480466938011303,15.044983577542858
0.952381557987498,14.97489772694429
0.9567178342968893,14.90544709452032
0.9610555036148342,14.836623284686944
0.9640731216515565,14.46751706538829
0.9684194435557363,14.401179803657126
0.9727670520336423,14.335435419520122
0.9771159299117176,14.270276171056091
0.9801942720113199,13.908990418944743
0.98455125922829,13.846208411826535
0.9889094181530571,13.783979695609554
0.9932687333623368,13.722297133133546
0.9964055472576053,13.368587984859515
1.0007724627348236,13.309178695400476
1.0051404448287389,13.250285686272639
1.0095094796941249,13.191902379538638
1.0127026192603419,12.845533275348028
1.0170787771936536,12.78932437523512
1.0214559055966703,12.733597153039447
1.0258339920467088,12.678345547716638
1.029081411860543,12.339087278326195
1.033466173900362,12.285916080996666
1.0378518184477086,12.23319420903632
1.0422383343620467,12.180916079005545
1.0466257106874108,12.129076198102794
1.0499308562490541,11.79825969535712
1.0543244300314867,11.74839168628145
1.0587187958651545,11.698937608802659
1.0631139439282609,11.649892403214176
1.0664692447232562,11.325694723832502
1.0708702009096738,11.278537529483858
1.075271876574317,11.23176638402444
1.0796742629175604,11.18537662781296
1.0840773512813089,11.139363674892014
1.0874857917970848,10.823011226207099
1.091894273780317,10.77878971727068
1.0963034009650594,10.734923883650755
1.10071316559786,10.691409502278287
1.105123560047909,10.648242415862589
1.1085828694355424,10.339424484793271
1.112998273429764,10.297958301028949
1.1174142557748792,10.256819841696396
1.1218308096410146,10.216005278793062
1.1262479283045534,10.175510843043208
1.1297559661611962,9.873931699058424
1.13417773819913,9.835053236485034
1.138600028401443,9.796476761955194
1.14302283075389,9.75819880511847
1.1474461393342614,9.720215948060853
1.1510008867820927,9.425594149265871
1.1554285181787847,9.389147561331248
1.1598566135381028,9.35297925009325
1.1642851675663166,9.317086069126223
